Nummer	Amtsjahre	Name	Lebensdaten
1	1848–1861	Jonas Furrer	1805–1861
2	1848–1854	Ulrich Ochsenbein	1811–1890
3	1848–1855	Daniel-Henri Druey	1799–1855
4	1848–1855	Martin J. Munzinger	1791–1855
5	1848–1857	Stefano Franscini	1796–1857
6	1848–1866	Friedrich Frey-Herosé	1801–1873
7	1848–1875	Wilhelm Matthias Naeff	1802–1881
8	1855–1863	Jakob Stämpfli	1820–1879
9	1855–1867	Constant Fornerod	1819–1899
10	1855–1875	Melchior Josef Martin Knüsel	1813–1889
11	1857–1864	Giovanni Battista Pioda	1808–1882
12	1861–1872	Jakob Dubs	1822–1879
13	1864–1895	Karl Schenk	1823–1895
14	1864–1872	Jean-Jacques Challet-Venel	1811–1893
15	1867–1891	Emil Welti	1825–1899
16	1867–1869	Victor Ruffy	1823–1869
17	1870–1875	Paul Ceresole	1832–1905
18	1872–1878	Johann Jakob Scherer	1825–1878
19	1873–1875	Eugène Borel	1835–1892
20	1876–1878	Joachim Heer	1825–1879
21	1876–1880	Fridolin Anderwert	1828–1880
22	1876–1890	Bernhard Hammer	1822–1907
23	1876–1892	Numa Droz	1844–1899
24	1879–1883	Simeon Bavier	1825–1896
25	1879–1888	Wilhelm Hertenstein	1825–1888
26	1881–1893	Antoine Louis John Ruchonnet	1834–1893
27	1883–1912	Adolf Deucher	1831–1912
28	1889–1902	Walter Hauser	1837–1902
29	1891–1897	Emil Frey	1838–1922
30	1892–1908	Joseph Zemp	1834–1908
31	1893–1899	Adrien Lachenal	1849–1918
32	1894–1899	Eugène Ruffy	1854–1919
33	1895–1919	Eduard Müller	1848–1919
34	1897–1911	Ernst Brenner	1856–1911
35	1900–1912	Robert Comtesse	1847–1922
36	1900–1912	Marc-Emile Ruchet	1853–1912
37	1903–1917	Ludwig Forrer	1845–1921
38	1908–1911	Josef Anton Schobinger	1849–1911
39	1911–1917	Arthur Hoffmann	1857–1927
40	1912–1940	Giuseppe Motta	1871–1940
41	1912–1913	Louis Perrier	1849–1913
42	1912–1919	Camille Decoppet	1862–1925
43	1912–1935	Edmund Schulthess	1868–1944
44	1913–1920	Felix-Louis Calonder	1863–1952
45	1917–1919	Gustave Ador	1845–1928
46	1918–1929	Robert Haab	1865–1939
47	1920–1929	Karl Scheurer	1872–1929
48	1920–1928	Ernest Chuard	1857–1942
49	1920–1934	Jean-Marie Musy	1876–1952
50	1920–1934	Heinrich Häberlin	1868–1947
51	1929–1944	Marcel Pilet-Golaz	1889–1958
52	1930–1940	Rudolf Minger	1881–1955
53	1930–1938	Albert Meyer	1870–1953
54	1934–1940	Johannes Baumann	1874–1953
55	1934–1959	Philipp Etter	1891–1977
56	1935–1940	Hermann Obrecht	1882–1940
57	1939–1943	Ernst Wetter	1877–1963
58	1940–1950	Enrico Celio	1889–1980
59	1940–1947	Walther Stampfli	1884–1965
60	1941–1951	Eduard von Steiger	1881–1962
61	1941–1954	Karl Kobelt	1891–1968
62	1944–1951	Ernst Nobs	1886–1957
63	1945–1961	Max Petitpierre	1899–1994
64	1948–1954	Rodolphe Rubattel	1896–1961
65	1950–1954	Josef Escher	1885–1954
66	1952–1958	Markus Feldmann	1897–1958
67	1952–1954	Max Weber	1897–1974
68	1954–1959	Hans Streuli	1892–1970
69	1955–1959	Thomas Holenstein	1896–1962
70	1955–1966	Paul Chaudet	1904–1977
71	1955–1959	Giuseppe Lepori	1902–1968
72	1959–1965	Friedrich Traugott Wahlen	1899–1985
73	1960–1962	Jean Bourgknecht	1902–1964
74	1960–1970	Willy Spühler	1902–1990
75	1960–1971	Ludwig von Moos	1910–1990
76	1960–1973	Hans-Peter Tschudi	1913–2002
77	1961–1969	Hans Schaffner	1908–2004
78	1962–1973	Roger Bonvin	1907–1982
79	1966–1979	Rudolf Gnägi	1917–1985
80	1967–1973	Nello Celio	1914–1995
81	1970–1978	Ernst Brugger	1914–1998
82	1970–1978	Pierre Graber	1908–2003
83	1972–1986	Kurt Furgler	1924–2008
84	1974–1983	Willi Ritschard	1918–1983
85	1974–1982	Hans Hürlimann	1918–1994
86	1974–1983	Georges-André Chevallaz	1915–2002
87	1978–1982	Fritz Honegger	1917–1999
88	1978–1987	Pierre Aubert	1927–2016
89	1980–1987	Leon Schlumpf	1925–2012
90	1983–1986	Alphons Egli	1924–2016
91	1983–1984	Rudolf Friedrich	1923–2013
92	1984–1995	Otto Stich	1927–2012
93	1984–1998	Jean-Pascal Delamuraz	1936–1998
94	1984–1989	Elisabeth Kopp	1936–2023
95	1987–1999	Arnold Koller	* 1933
96	1987–1999	Flavio Cotti	1939–2020
97	1988–1993	René Felber	1933–2020
98	1988–2000	Adolf Ogi	* 1942
99	1989–2003	Kaspar Villiger	* 1941
100	1993–2002	Ruth Dreifuss	* 1940
101	1995–2010	Moritz Leuenberger	* 1946
102	1998–2009	Pascal Couchepin	* 1942
103	1999–2003	Ruth Metzler-Arnold	* 1964
104	1999–2006	Joseph Deiss	* 1946
105	2001–2008	Samuel Schmid	* 1947
106	2003–2011	Micheline Calmy-Rey	* 1945
107	2004–2007	Christoph Blocher	* 1940
108	2004–2010	Hans-Rudolf Merz	* 1942
109	2006–2018	Doris Leuthard	* 1963
110	2008–2015	Eveline Widmer-Schlumpf	* 1956
111	2009–2022	Ueli Maurer	* 1950
112	2009–2017	Didier Burkhalter	* 1960
113	2010–2022	Simonetta Sommaruga	* 1960
114	2010–2018	Johann N. Schneider-Ammann	* 1952
115	2012–2023	Alain Berset	* 1972
116	2016–	Guy Parmelin	* 1959
117	2017–	Ignazio Cassis	* 1961
118	2019–	Viola Amherd	* 1962
119	2019–	Karin Keller-Sutter	* 1963
120	2023–	Albert Rösti	* 1967
121	2023–	Elisabeth Baume-Schneider	* 1963
