N°	Nombre	Nacido el	Partido	Cantón	Lugar de origen	Elegido el	En funciones hasta	Fallecido el
121	Élisabeth Baume-Schneider	24.12.1963	PSS	JU	Saint-Imier	01.01.2023		
120	Albert Rösti	08.08.1967	UDC	BE	Frutigen	01.01.2023		
119	Karin Keller-Sutter	22.12.1963	PLR	SG	Jonschwil, Kirchberg	05.12.2018		
118	Viola Amherd	07.06.1962	PDC	VS	Brig-Glis	05.12.2018		
117	Ignazio Cassis	13.04.1961	PLR	TI	Sessa, Biasca	20.09.2017		
116	Guy Parmelin	09.11.1959	UDC	VD	Bursins	09.12.2015		
115	Alain Berset	09.04.1972	PSS	FR	Misery-Courtion	14.12.2011		
114	Johann Schneider-Ammann	18.02.1952	PLR	BE	Hasle bei Burgdorf	20.09.2010	31.12.2018	
113	Simonetta Sommaruga	15.05.1960	PSS	BE	Lugano, Eggiwil	20.09.2010	31.12.2022	
112	Didier Burkhalter	17.04.1960	PLR	NE	Neuchâtel, Sumiswald	16.09.2009	31.10.2017	
111	Ueli Maurer	01.12.1950	UDC	ZH	Adelboden, Hinwil	10.12.2008	31.12.2022	
110	Eveline Widmer-Schlumpf	16.03.1956	PBD	GR	Felsberg, Mönchaltorf	12.12.2007	31.12.2015	
109	Doris Leuthard	10.04.1963	PDC	AG	Merenschwand, Sarnen	14.06.2006	31.12.2018	
108	Hans-Rudolf Merz	10.11.1942	PRD	AR	Beinwil am See	10.12.2003	31.10.2010	
107	Christoph Blocher	11.10.1940	UDC	ZH	Meilen, Zúrich, Schattenhalb	10.12.2003	31.12.2007	
106	Micheline Calmy-Rey	08.07.1945	PSS	GE	Chermignon	04.12.2002	31.12.2011	
105	Samuel Schmid	08.01.1947	PBD	BE	Attiswil	06.12.2000	31.12.2008	
104	Joseph Deiss	18.01.1946	PDC	FR	Zeihen, Barberêche	11.03.1999	31.07.2006	
103	Ruth Metzler-Arnold	23.05.1964	PDC	AI	Richenthal, Willisau-Stadt, Balgach	11.03.1999	31.12.2003	
102	Pascal Couchepin	05.04.1942	PRD	VS	Martigny	11.03.1998	31.10.2009	
101	Moritz Leuenberger	21.09.1946	PSS	ZH	Rohrbach	27.09.1995	31.10.2010	
100	Ruth Dreifuss	09.01.1940	PSS	GE	Endingen AG	10.03.1993	31.12.2002	
99	Kaspar Villiger	05.02.1941	PRD	LU	Sins, Pfeffikon	01.02.1989	31.12.2003	
98	Adolf Ogi	18.07.1942	UDC	BE	Kandersteg	09.12.1987	31.12.2000	
97	René Felber	14.03.1933	PSS	NE	Kottwil, Le Locle	09.12.1987	31.03.1993	18.09.2020
96	Flavio Cotti	18.10.1939	PDC	TI	Prato Sornico	10.12.1986	13.01.1999	16.12.2020
95	Arnold Koller	29.08.1933	PDC	AI	Gossau, Oberbüren	10.12.1986	13.01.1999	
94	Elisabeth Kopp	16.12.1936	PRD	ZH	Niederönz, Lucerna, Zumikon	02.10.1984	12.01.1989	07.04.2023
93	Jean-Pascal Delamuraz	01.04.1936	PRD	VD	Longirod	07.12.1983	14.01.1998	04.10.1998
92	Otto Stich	10.01.1927	PSS	SO	Kleinlützel	07.12.1983	31.10.1995	13.09.2012
91	Rudolf Friedrich	04.07.1923	PRD	ZH	Winterthur	08.12.1982	20.10.1984	15.10.2013
90	Alphons Egli	08.10.1924	PDC	LU	Entlebuch, Lucerna	08.12.1982	31.12.1986	05.08.2016
89	Leon Schlumpf	03.02.1925	UDC	GR	Mönchaltorf, Felsberg	05.12.1979	31.12.1987	07.07.2012
88	Pierre Aubert	03.03.1927	PSS	NE	Savagnier	07.12.1977	31.12.1987	08.06.2016
87	Fritz Honegger	25.07.1917	PRD	ZH	Fischenthal, Rüschlikon	07.12.1977	31.12.1982	04.03.1999
