Name;Party;Kanton;Elected;Retired;Sex;FirstDayInOffice
Druey, Daniel-Henri;FDP.Die Liberalen;Waadt (VD);16.11.1848;29.03.1855;M;16.11.1848
Franscini, Stefano;FDP.Die Liberalen;Tessin (TI);16.11.1848;19.07.1857;M;16.11.1848
Frey-Herosé, Friedrich;FDP.Die Liberalen;Aargau (AG);16.11.1848;31.12.1866;M;16.11.1848
Furrer, Jonas;FDP.Die Liberalen;Zürich (ZH);16.11.1848;25.07.1861;M;16.11.1848
Munzinger, Martin J.;FDP.Die Liberalen;Solothurn (SO);16.11.1848;06.02.1855;M;16.11.1848
Naeff, Wilhelm Matthias;FDP.Die Liberalen;St. Gallen (SG);16.11.1848;31.12.1875;M;16.11.1848
Ochsenbein, Ulrich;FDP.Die Liberalen;Bern (BE);16.11.1848;31.12.1854;M;16.11.1848
Stämpfli, Jakob;FDP.Die Liberalen;Bern (BE);06.12.1854;31.12.1863;M;01.01.1855
Fornerod, Constant;FDP.Die Liberalen;Waadt (VD);11.07.1855;31.10.1867;M;11.07.1855;
Knüsel, Melchior Josef Martin;FDP.Die Liberalen;Luzern (LU);14.07.1855;31.12.1875;M;14.07.1855
Pioda, Giovanni Battista;FDP.Die Liberalen;Tessin (TI);30.07.1857;26.01.1864;M;30.07.1857
Dubs, Jakob;FDP.Die Liberalen;Zürich (ZH);30.07.1861;28.05.1872;M;30.07.1861
Schenk, Karl;FDP.Die Liberalen;Bern (BE);12.12.1863;18.07.1895;M;01.01.1864
Challet-Venel, Jean-Jacques;FDP.Die Liberalen;Genf (GE);12.07.1864;31.12.1872;M;12.07.1864
Welti, Emil;FDP.Die Liberalen;Aargau (AG);08.12.1866;31.12.1891;M;01.01.1867
Ruffy, Victor;FDP.Die Liberalen;Waadt (VD);06.12.1867;29.12.1869;M;01.01.1868
Ceresole, Paul;FDP.Die Liberalen;Waadt (VD);01.02.1870;31.12.1875;M;01.02.1870
Scherer, Johann Jakob;FDP.Die Liberalen;Zürich (ZH);12.07.1872;23.12.1878;M;28.05.1872
Borel, Eugène;FDP.Die Liberalen;Neuenburg (NE);07.12.1872;31.12.1875;M;01.01.1873
Anderwert, Fridolin;FDP.Die Liberalen;Thurgau (TG);10.12.1875;25.12.1880;M;01.01.1876
Hammer, Bernhard;FDP.Die Liberalen;Solothurn (SO);10.12.1875;31.12.1890;M;01.01.1876
Heer, Joachim;FDP.Die Liberalen;Glarus (GL);10.12.1875;31.12.1878;M;01.01.1876
Droz, Numa;FDP.Die Liberalen;Neuenburg (NE);18.12.1875;31.12.1892;M;01.01.1876
Bavier, Simeon;FDP.Die Liberalen;Graubünden (GR);10.12.1878;05.01.1883;M;01.01.1879
Hertenstein, Wilhelm;FDP.Die Liberalen;Zürich (ZH);21.03.1879;27.11.1888;M;01.04.1879
Ruchonnet, Antoine Louis John;FDP.Die Liberalen;Waadt (VD);03.03.1881;14.09.1893;M;03.03.1881
Deucher, Adolf;FDP.Die Liberalen;Thurgau (TG);10.04.1883;10.07.1912;M;10.04.1883
Hauser, Walter;FDP.Die Liberalen;Zürich (ZH);13.12.1888;22.10.1902;M;13.12.1888
Frey, Emil;FDP.Die Liberalen;Basel-Land (BL);11.12.1890;31.03.1897;M;01.01.1891
Zemp, Joseph;Christlichdemokratische Volkspartei der Schweiz;Luzern (LU);17.12.1891;17.06.1908;M;01.01.1892
Lachenal, Adrien;FDP.Die Liberalen;Genf (GE);15.12.1892;31.12.1899;M;01.01.1893
Ruffy, Eugène;FDP.Die Liberalen;Waadt (VD);14.12.1893;31.10.1899;M;14.12.1893
Müller, Eduard;FDP.Die Liberalen;Bern (BE);16.08.1895;09.11.1919;M;16.08.1895
Brenner, Ernst;FDP.Die Liberalen;Basel-Stadt (BS);25.03.1897;11.03.1911;M;01.04.1897
Comtesse, Robert;FDP.Die Liberalen;Neuenburg (NE);14.12.1899;04.03.1912;M;01.01.1900
Ruchet, Marc-Emile;FDP.Die Liberalen;Waadt (VD);14.12.1899;13.07.1912;M;01.01.1900
Forrer, Ludwig;FDP.Die Liberalen;Zürich (ZH);11.12.1902;31.12.1917;M;11.12.1902
